x,y,,g,id,date
-87.725658,41.928207,,32.0775,I2TFTAqX_YNFyN9MenV8bw,2018-05
-87.725657,41.928162,,25.7236458333,WQVZEnaN2tlqi2Uuw3ED3Q,2018-05
-87.725655,41.928132,,28.9845833333,SgcMoRsForf2Ed5-U09GIA,2018-05
-87.725642,41.927914,,27.9285416667,69Qzf9DrknpmkGePmuFEJw,2018-05
-87.725636,41.927811,,27.5530208333,4poqbt2u8YUx0-mC2e7cHA,2018-05
-87.725627,41.927668,,19.6592708333,oOD0bOm_yQdTMTK09gt1gg,2018-05
-87.725623,41.927547,,33.7784375,kuz5h3y8NzZ_XG3sLhx8Yg,2018-05
-87.725618,41.927379,,41.6129166667,tw4SyUBz-vblsGsPLX3ljA,2018-05
-87.725616,41.927292,,36.738125,Xliq11DwodWDar-0BsJtCQ,2018-05
-87.725610,41.927118,,31.4273958333,CbE19thKQ4N9J9cNxXv0PA,2018-05
-87.725609,41.920851,,18.8053125,NumBGDWxWr-4hiAgvYQEEw,2018-07
-87.725607,41.927027,,31.4627083333,whrcwQsSGDsQoRLVlE4Mqg,2018-05
-87.725605,41.922660,,30.0060416667,WbwP2TlYObsp03vKSlzpzA,2018-07
-87.725602,41.926849,,34.9865625,vEjsyTp8XYh1GzYCjg_HfA,2018-05
-87.725599,41.926761,,33.366875,q_dETmGi1W2w5os6KIupRA,2018-05
-87.725596,41.928163,,27.869375,RIVbuP-UW0z6TUgjIxS6dw,2018-05
-87.725594,41.926578,,32.605625,mKfVxRm80Eggs9us6Uke3A,2018-05
-87.725591,41.926482,,28.0932291667,yFayivjxKpe2AvpsnNsFOA,2018-05
-87.725586,41.926338,,21.9655208333,1ZAcGa6lJabW7x-BV4EBGA,2018-05
-87.725547,41.924965,,16.1829166667,NFA26-dimoVUwp62__S0hw,2018-05
-87.725541,41.924785,,20.54,BVDc1FaED9NdydjE8gzYkQ,2018-05
-87.725538,41.924695,,16.6775,8pgTDewDi5J7VREFlnXkSw,2018-05
-87.725534,41.924560,,3.95052083333,-nBXRY8mAlbBBwDajwtTrA,2018-05
-87.725533,41.924515,,2.823125,BHPyS6JbDrAwuhhIxWvoXQ,2018-05
-87.725532,41.924432,,2.02125,P6fZWBjDif3-xhDnIEjHww,2018-05
-87.725530,41.924297,,2.42875,AgeJWpwtZuidJ18BsiPC0A,2018-05
-87.725528,41.924117,,2.04760416667,JwKljMexvw8m4XJbacLsxg,2018-05
-87.725527,41.924027,,4.445625,k68qrxiidTtYzgcExhoBtg,2018-05
-87.725523,41.923875,,12.0007291667,ovLMWMeH6pCFPmX2w2DcYQ,2018-05
-87.725523,41.925126,,42.9921875,LxbDq16IyM5J2wXiKiPFNQ,2011-06
-87.725520,41.923779,,11.4527083333,w3Hc7EnoDlIvzTQ9Pb-3oA,2018-05
-87.725514,41.923605,,16.0871875,f6K432LPYnH5rm8S3gd-WQ,2018-05
-87.725511,41.923515,,17.7022916667,rnkSOQFmqTbLi_ntZpjq-Q,2018-05
-87.725505,41.923317,,24.3066666667,EORrZ4ubrueVyHliIzOiOw,2018-05
-87.725502,41.923236,,24.7359375,etvaqu5LuEEztcKHKsYUzA,2018-05
-87.725497,41.923056,,22.9561458333,2QJfrVg8dEb2PoyllL-26w,2018-05
-87.725495,41.930009,,20.5869791667,vFMDS1u9RtbyDCI86IfIMw,2018-05
-87.725494,41.922966,,16.4295833333,UZcwqV0U_APu-9p0IkVmAg,2018-05
-87.725488,41.922778,,21.0451041667,x3BeN22VwC5J-wkkDS7adw,2018-05
-87.725485,41.922688,,17.5417708333,JoukMfJ5uhHr6Y7qeRFs5A,2018-05
-87.725423,41.922662,,37.4165625,hAI3ji9PX5liSU7aVWfcag,2018-07
-87.725413,41.924561,,3.43395833333,_rYzQ2NX9Bdnvljcx8Th2Q,2018-05
-87.725392,41.926342,,26.6455208333,Vi4M43uwGxIS_9D9vQmVRg,2018-05
-87.725367,41.920851,,15.7978125,P_lF2PONeQoR7NYS5yhb5A,2018-07
-87.725355,41.928167,,30.2628125,49tQDyIzV0gjW3J9y5DxfQ,2018-05
-87.725269,41.926345,,17.6442708333,tOIJzVnfrXrCecpeWsHnLA,2018-05
-87.725265,41.930011,,11.166875,LNPehbFZXFrDlGBs5Mxyag,2018-05
-87.725246,41.920852,,15.5425,tLr9IhOfX61f_mzs-OpJkw,2018-07
-87.725234,41.928169,,30.5747916667,x2O45RkLb91RdLDO0gTQDQ,2018-05
-87.725171,41.924563,,5.1584375,gZ8Go7n9GmB7Al2P41ZFcg,2018-05
-87.725170,41.922669,,35.9547916667,JTzXN_odhjfvcYyotiODVQ,2018-07
-87.725132,41.930013,,11.0405208333,saIVuWScOTTGQ3ffYfIFlQ,2018-05
-87.725050,41.924564,,8.571875,KOSiowRM5-8-1Gf4j1TNxw,2018-05
-87.725049,41.922673,,34.5445833333,iQEEgGG4RZB3KcbYjCIzqQ,2018-07
-87.725004,41.920852,,23.8659375,mm6viUZiRwBhZd3hquXTBA,2018-07
-87.724992,41.928173,,30.7692708333,D8ZbZiu009Dnxco_tXeKRg,2018-05
-87.724982,41.926351,,14.2982291667,VmqSSrejisfGCUfckeU0xA,2018-05
-87.724911,41.926351,,16.6708333333,jje3O9o0W4znR7hXpPxqLg,2018-05
-87.724884,41.920852,,19.811875,RKkc6ryI2VzVNtmaxQw4Ew,2018-07
-87.724883,41.930017,,17.1045833333,6bnwJBnfY_BrhpWcTx3hyg,2018-05
-87.724871,41.928175,,28.8784375,7b1jufUmAvql3YzWdma9rg,2018-05
-87.724817,41.922677,,23.5473958333,O8mP9l4lzrc6IPUam58OCA,2018-07
-87.724796,41.924567,,6.99364583333,66eGIR9QwMPTVg_EhF3imA,2018-05
-87.724763,41.930020,,12.7788541667,nWLPXh58Yr2W75N192U0wg,2018-05
-87.724733,41.926351,,20.0648958333,S3VRoSoERE88aL51wT7aww,2018-05
-87.724701,41.919924,,25.9944791667,KkfK7RckBZkMx5rjR9q_jQ,2018-07
-87.724700,41.922678,,33.1045833333,gQJYX1wksVUXrIh7BVk8Ig,2018-07
-87.724637,41.920856,,21.1698958333,zGK2NymaF-E7MOOlNa8sxQ,2018-07
-87.724630,41.928179,,31.6847916667,SXlkZkaGOu8UK24ppAE5Vg,2018-05
-87.724615,41.924568,,13.0235416667,9ktqmFFzSVAZqbc6B1Zd4A,2018-05
-87.724581,41.930023,,18.9782291667,mhUH130Tetj6Fb_xrvSQGA,2018-05
-87.724516,41.920859,,24.4003125,8eei2MisGP6Q9SCirXf0hw,2018-07
-87.724508,41.919930,,30.1353125,eVwt4BOmLcZGhEnle2Yerg,2018-07
-87.724499,41.926351,,29.0819791667,XSvlGmI-GjlswDrOVfyJww,2018-05
-87.724497,41.928181,,11.8710416667,vCPkkIDkkI_HPjaLiBY7cg,2018-05
-87.724495,41.924570,,11.896875,de2A727vjTVwjlc38Dy9Pw,2018-05
-87.724467,41.929981,,17.0496875,X6PnLxOODUzmK7B7RMGcHw,2018-05
-87.724464,41.929894,,17.5634375,XsfVIAuRKflAVbBRRRzV_w,2018-05
-87.724458,41.929709,,17.6477083333,Ttwk4yy14s0K7Bg4TdL-lw,2018-05
-87.724455,41.929617,,19.326875,RMdg8SGsDRQCD_eNhLRmNQ,2018-05
-87.724449,41.929435,,18.7664583333,ogUGEVTg5WflQyCZCYH4ag,2018-05
-87.724446,41.929347,,20.483125,IZW2bJ-5BRJGTIL7JMm3Gg,2018-05
-87.724441,41.929165,,17.7601041667,O2c5AIktOboX6SBRXA7UxQ,2018-05
-87.724438,41.929074,,19.7169791667,rD84M8ytn7BW3qQFgiNVEw,2018-05
-87.724437,41.930026,,14.1848958333,09uqBhRDNvGdg6E_2c9Fpw,2018-05
-87.724432,41.928885,,21.1578125,QBoHD0ob2cdkI5LC5iVBrQ,2018-05
-87.724427,41.928745,,14.384375,x5GbMyB4oJ6BxjoOzZBQlg,2018-05
-87.724426,41.922680,,37.1513541667,Hq8epVBLo_XNJBpN9HZxWw,2018-07
-87.724425,41.928652,,17.38375,klYisOBjYG9iZzHvI53w0g,2018-05
-87.724424,41.928183,,9.293125,U1tMrlC3oVR8IjIC9eJIKA,2018-05
-87.724422,41.928553,,24.1602083333,ZiIb0kZXrZVjvTOJreHTUQ,2018-05
-87.724419,41.928386,,26.8314583333,eI1gU0UMV9W8XIdNZeN0Uw,2018-05
-87.724417,41.928304,,36.2319791667,umZB1oRbX1BD5ExBEc_PVA,2018-05
-87.724411,41.928012,,35.5365625,mmBtku6f31XfI__DhgN0Lw,2018-05
-87.724408,41.927814,,33.7504166667,c5Kf5LNI6adBG05NIjfBEw,2018-05
-87.724406,41.927682,,27.2409375,-vfQ_A5mwbp1qaYuH_SWrg,2018-05
-87.724402,41.927547,,26.4169791667,fzirdOQjMroXMFlns8KxUw,2018-05
-87.724400,41.927457,,28.1821875,wmPWfTX9hSYC7lvIrKaQZQ,2018-05
-87.724396,41.927277,,21.8730208333,hBzb_q_DiW0dvyOeJ445MQ,2018-05
-87.724394,41.927198,,20.7,oK8XOVkF9XstG2728zWKmQ,2018-05
-87.724389,41.927021,,26.5661458333,QEJVKSDrbDcpf0nYpC3Fbw,2018-05
-87.724387,41.919934,,26.9939583333,FT2fDoSZJOuqW3VZwiEksQ,2018-07
-87.724387,41.926933,,28.1932291667,SvhrBeMUExHqdRwedwKKkg,2018-05
-87.724382,41.926748,,25.311875,4cxxqOUK1Mw6R6j74zS9pg,2018-05
-87.724380,41.926660,,20.8597916667,F97v5cSBEzwo4bFxBZ0pMw,2018-05
-87.724378,41.926572,,18.2023958333,4GOGINISom2DQyMh-B_8Mw,2018-05
-87.724372,41.926351,,18.023125,5jExd0qROr8V2KOmIde9kw,2018-05
-87.724369,41.926206,,28.4192708333,FiaF0k66JE6pwcxZoZg9gw,2018-05
